bid_id,date_created,adv_id,user_id_buyer,bid_price
1,2023-11-22 10:58:33,31,74,185000000
2,2023-09-20 03:35:12,26,31,76000000
3,2023-10-01 09:25:22,279,97,151000000
4,2023-07-01 09:17:27,396,40,65500000
5,2023-12-04 06:10:55,372,37,167500000
6,2023-11-26 19:28:54,343,86,144500000
7,2023-10-11 17:32:52,227,59,112000000
8,2023-11-17 14:02:25,238,98,128000000
9,2023-10-16 23:19:42,51,48,53500000
10,2023-07-17 21:15:00,188,8,162000000
11,2023-07-14 15:59:39,266,86,87500000
12,2023-08-14 18:59:24,309,82,324500000
13,2023-12-01 22:54:12,191,32,75000000
14,2023-07-18 05:38:27,387,28,71000000
15,2023-06-25 03:21:23,321,76,142500000
16,2023-12-14 06:43:40,355,95,51500000
17,2023-12-28 01:47:14,209,54,298000000
18,2023-09-05 14:37:34,373,58,156500000
19,2023-10-16 08:40:12,186,59,97000000
20,2023-10-15 04:57:15,136,95,66500000
21,2023-09-24 09:49:00,308,49,213000000
22,2023-11-12 05:06:06,41,18,196000000
23,2023-10-04 21:52:13,240,95,146500000
24,2024-01-04 02:45:36,302,81,149500000
25,2023-11-05 04:46:40,398,98,176500000
26,2023-06-08 17:04:49,112,92,261000000
27,2023-07-23 19:08:00,35,37,134000000
28,2023-12-16 09:10:25,284,32,121500000
29,2023-11-24 18:34:38,90,64,130000000
30,2023-10-08 13:52:15,373,22,101500000
31,2023-12-23 16:47:44,48,72,134000000
32,2023-09-22 23:49:53,134,63,121500000
33,2023-12-28 01:29:21,293,18,114500000
34,2023-12-07 23:00:41,69,6,138500000
35,2023-12-05 23:52:31,150,25,106000000
36,2023-09-29 09:26:11,393,73,128500000
37,2023-09-26 12:30:57,43,91,88000000
38,2023-12-01 23:46:48,364,70,100500000
39,2023-10-04 10:04:20,290,11,53500000
40,2023-08-02 02:46:02,168,82,118000000
41,2023-11-11 12:43:00,319,18,81500000
42,2023-08-16 19:34:35,320,67,107000000
43,2023-11-13 01:49:50,59,81,109500000
44,2023-06-04 03:15:40,166,87,226000000
45,2023-11-25 09:12:04,144,17,223500000
46,2023-10-12 12:07:19,382,25,87500000
47,2023-07-17 03:17:24,61,2,143500000
48,2023-11-12 09:42:08,400,94,163500000
49,2023-06-23 15:11:40,291,25,164500000
50,2023-11-05 13:57:54,314,79,77000000
51,2023-08-23 23:23:41,116,75,141000000
52,2023-11-16 13:34:40,378,1,237000000
53,2023-07-05 06:43:22,86,4,142000000
54,2023-07-09 05:20:49,138,12,136500000
55,2023-08-02 08:47:27,339,55,131500000
56,2023-07-21 15:39:46,242,15,175500000
57,2023-12-31 06:51:01,312,51,158500000
58,2023-07-17 07:12:33,115,92,92000000
59,2023-06-05 20:26:48,361,13,259000000
60,2023-12-10 18:30:38,44,72,148500000
61,2023-12-04 16:26:23,122,86,100500000
62,2023-11-29 00:15:26,226,83,65500000
63,2023-09-18 13:20:08,150,9,98000000
64,2023-06-16 01:50:56,63,1,127500000
65,2023-09-28 04:49:25,77,80,55500000
66,2023-07-06 18:52:23,236,81,89000000
67,2023-08-18 00:55:06,305,35,182500000
